ID: 37449	Num of Repeat: 3
ID: 45449	Num of Repeat: 1
ID: 41373	Num of Repeat: 1
ID: 39986	Num of Repeat: 1
ID: 39093	Num of Repeat: 1
ID: 31800	Num of Repeat: 1
ID: 43800	Num of Repeat: 2
ID: 43787	Num of Repeat: 1
ID: 37433	Num of Repeat: 1
ID: 24474	Num of Repeat: 1
ID: 34726	Num of Repeat: 1
ID: 42955	Num of Repeat: 1
ID: 41545	Num of Repeat: 1
ID: 44100	Num of Repeat: 1
ID: 40513	Num of Repeat: 1
ID: 38919	Num of Repeat: 1
ID: 37160	Num of Repeat: 1
ID: 32323	Num of Repeat: 1
ID: 25275	Num of Repeat: 2
ID: 28105	Num of Repeat: 1
ID: 22007	Num of Repeat: 1
ID: 33092	Num of Repeat: 1
ID: 38037	Num of Repeat: 1
ID: 44654	Num of Repeat: 1
ID: 13061	Num of Repeat: 1
ID: 37695	Num of Repeat: 1
ID: 35539	Num of Repeat: 1
ID: 42388	Num of Repeat: 1
ID: 42405	Num of Repeat: 1
ID: 23679	Num of Repeat: 1
ID: 45575	Num of Repeat: 9
ID: 11689	Num of Repeat: 4
ID: 36391	Num of Repeat: 1
ID: 43878	Num of Repeat: 1
ID: 26201	Num of Repeat: 1
ID: 44754	Num of Repeat: 1
ID: 43615	Num of Repeat: 1
ID: 43547	Num of Repeat: 1
